0.00,0.44,0.73,0.00,0.11
0.01,0.44,0.73,0.00,0.11
2.61,0.44,0.73,0.00,0.11
2.81,0.44,0.73,0.00,0.11
3.32,0.44,0.73,0.00,0.11
3.11,0.44,0.73,0.00,0.11
3.14,0.44,0.73,0.00,0.11
3.90,0.44,0.73,0.00,0.11
8.98,0.67,2.88,0.10,0.63
14.20,2.67,8.53,2.73,4.17
23.55,7.81,17.85,13.68,11.48
24.43,8.54,17.83,14.07,13.52
22.72,5.50,16.62,15.52,11.49
31.60,8.18,24.55,22.93,17.05
29.83,6.34,22.96,22.05,13.55
29.12,6.00,22.42,22.43,9.93
28.58,11.69,22.43,21.98,13.42
40.76,29.30,36.00,28.30,25.28
35.61,23.91,29.27,27.01,19.65
37.17,21.51,30.22,30.57,16.26
37.29,24.43,29.91,32.30,17.60
49.06,47.49,37.29,32.37,25.61
70.41,70.40,45.06,43.39,27.88
70.89,70.94,41.01,43.48,23.99
70.31,70.15,35.79,31.39,18.20
68.59,68.46,36.16,31.83,13.48
69.99,69.84,34.08,30.72,17.59
78.55,78.49,39.42,23.53,19.73
79.78,79.91,45.71,21.26,27.81
84.96,84.88,44.04,15.39,33.49
86.03,86.03,43.98,20.89,33.28
85.43,85.48,45.58,25.27,37.25
84.88,84.86,47.45,26.33,37.68
85.67,85.66,46.49,31.41,36.88
85.29,85.18,48.43,35.44,40.38
85.95,85.97,49.31,36.32,41.89
85.87,85.90,45.34,29.94,40.74
85.54,85.50,43.82,27.73,38.68
84.70,84.68,42.20,16.17,34.01
84.18,84.19,41.30,29.82,28.55
79.64,79.69,36.23,38.78,24.84
76.48,76.43,34.79,40.99,25.83
73.53,73.66,34.11,37.03,27.06
74.94,74.89,32.70,41.37,30.81
74.19,74.25,33.40,42.61,32.21
73.74,73.82,32.34,31.20,34.81
73.96,74.01,35.69,40.18,42.16
84.20,84.04,47.96,42.83,52.74
84.83,84.89,46.82,42.20,42.53
82.89,82.99,43.86,30.31,37.68
82.77,82.69,44.97,29.77,28.19
81.51,81.39,46.03,30.62,25.85
82.66,82.55,44.38,25.15,24.85
82.30,82.40,43.61,27.20,30.63
81.96,81.97,43.13,36.35,39.70
81.32,81.14,39.81,34.68,37.33
82.86,82.82,35.37,34.48,36.76
77.97,77.95,33.34,31.86,38.75
73.92,73.76,33.60,27.45,42.06
75.16,75.03,39.42,39.58,41.70
75.75,75.86,52.68,46.06,42.81
75.07,75.10,53.22,36.26,43.23
75.12,75.00,48.83,23.59,48.14
75.12,75.10,53.91,32.62,54.65
73.34,73.34,49.10,27.68,50.97
72.47,72.35,48.28,27.70,50.13
71.39,71.51,40.64,17.17,52.57
76.41,75.25,37.28,10.79,68.20
84.01,82.94,38.99,16.33,72.25
86.95,86.58,41.39,8.61,71.56
85.71,85.48,36.61,9.88,73.47
84.63,84.41,37.77,5.63,72.03
83.87,84.03,39.37,3.57,70.40
84.72,84.40,38.91,6.97,72.78
84.68,85.13,39.43,9.71,72.53
85.98,85.74,41.32,10.39,73.75
85.99,86.16,41.07,13.51,74.42
85.49,85.67,43.20,12.22,75.42
84.93,85.06,41.01,10.03,76.00
84.00,83.84,42.04,11.37,74.33
83.80,83.70,42.31,9.96,73.49
85.98,85.81,40.48,8.85,72.81
85.74,85.71,40.97,9.75,73.58
82.44,82.15,39.97,12.25,71.79
83.77,83.35,43.52,11.63,70.95
86.50,86.40,41.09,8.65,72.66
83.23,82.24,40.80,7.38,74.60
81.24,78.75,39.94,6.55,75.73
79.96,78.39,44.15,11.79,71.58
82.92,81.40,45.66,14.42,74.57
84.38,84.19,44.27,7.16,73.51
82.44,82.24,41.93,7.30,73.86
81.63,81.19,36.40,10.87,73.23
80.73,80.35,39.35,9.94,70.51
82.57,81.92,38.77,9.37,71.55
82.25,82.36,42.11,10.61,72.86
80.44,77.73,44.30,5.42,73.87
79.32,79.01,40.53,7.37,74.89
82.97,82.44,38.69,9.00,76.02
79.84,77.00,35.45,9.00,76.67
80.14,76.46,33.43,6.00,76.11
78.97,78.04,33.56,3.39,71.41
81.40,78.71,36.64,1.24,73.97
80.17,76.57,48.39,2.19,75.20
83.40,82.91,52.22,8.05,70.06
86.24,86.02,48.23,4.16,71.47
86.06,85.57,43.53,3.37,73.34
84.98,85.05,40.89,8.91,74.49
84.99,85.16,42.55,7.91,73.54
85.19,85.51,40.03,6.11,74.94
85.46,85.47,36.75,11.40,74.28
85.42,85.89,39.07,18.31,74.55
84.42,84.82,37.21,22.00,72.21
86.26,86.54,35.75,23.38,68.98
84.75,84.64,38.13,25.97,66.32
83.78,83.69,41.29,25.78,68.31
84.61,84.67,43.18,20.89,66.68
81.88,82.42,37.40,11.33,66.91
80.89,79.54,34.60,4.79,68.42
82.73,81.93,34.57,4.68,70.99
83.19,82.50,34.88,7.97,71.95
83.31,84.01,33.38,11.78,67.89
83.97,83.42,34.27,18.72,70.10
83.91,83.99,35.85,22.44,70.48
83.51,83.82,36.61,26.73,68.58
84.20,84.18,36.45,22.11,68.68
84.49,84.35,36.26,20.35,66.72
84.35,84.50,37.22,20.18,65.65
84.60,84.18,36.62,17.22,65.24
83.31,83.35,33.13,11.79,66.21
83.43,82.80,28.97,17.61,67.96
81.09,80.20,27.93,21.47,70.46
76.96,74.59,32.16,13.12,66.81
73.62,71.44,33.27,10.12,68.55
72.71,70.14,31.39,9.31,68.13
74.37,69.14,31.66,10.61,72.57
72.69,67.76,33.10,1.08,69.10
72.17,65.71,35.74,1.41,70.22
71.77,64.10,35.32,1.21,69.74
72.98,62.81,32.06,2.63,71.89
73.91,64.38,28.54,4.92,72.62
73.06,63.79,29.39,3.96,72.26
73.95,63.50,30.74,2.30,73.17
73.70,60.93,30.74,0.64,73.34
73.99,56.60,34.98,0.93,73.87
71.26,53.74,36.36,1.67,71.18
73.91,48.00,34.43,0.99,73.74
71.64,42.72,31.37,1.55,71.67
70.06,40.23,31.82,1.57,69.97
70.95,40.80,36.19,2.62,70.80
71.80,36.75,33.86,0.80,71.60
71.95,33.71,29.01,4.08,71.91
73.73,31.61,26.20,4.40,73.71
72.10,29.90,25.77,2.92,72.07
71.49,24.21,24.74,2.45,71.44
71.32,22.65,24.61,0.52,71.34
70.22,24.26,26.10,0.05,70.20
70.22,22.48,24.01,0.01,70.18
69.27,24.96,24.01,0.90,69.21
69.19,25.58,26.20,1.48,69.17
66.97,28.00,27.77,2.85,66.98
66.42,26.29,33.19,4.49,66.31
63.52,28.14,35.81,1.35,63.59
68.60,28.28,34.82,1.16,68.39
66.15,24.42,37.08,2.60,66.20
67.04,25.12,38.43,5.67,66.94
63.55,25.64,38.11,5.64,63.85
66.00,25.68,39.10,4.62,66.15
64.89,25.18,38.03,7.19,65.17
63.02,21.65,37.08,8.62,62.88
